OBJECTID,Site_Name,DNO_Area,Substation_ID,Site_Type,Transformer_Rating__kVA_,Firm_Capacity__MVA_,Customer_Numbers,Site_Level,Three_Phase_,Primary_Voltage__kV_,Secondary_Voltage__kV_,Maximum_Demand__kW_,Upstream_Substation,Postcode,Postcodes_Fed,Postal_Sectors_Fed,Eastings,Northings,slope,slope_dimensionless,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low
2837,MILBURNGATE,North East,3.43288E+11,Ground Mounted,800,Not Applicable,10,Distribution,Yes,11,0.4,167.7,DURHAM EAST,DH1 4SL,"DH1 4UD, DH1 4UB, DH1 4SW, DH1 4SL",Not Applicable,427224,542508,24.76006317,0.461219294,Urban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,Low,Low,,,,0,0,0,0,0,0.3,0,0,0.3,0,0,23.41124722,0,0,1,0,0,8.173374165,,,Extreme
2727,WALKERGATE SOUTH,North East,94246359499,Ground Mounted,1000,Not Applicable,13,Distribution,Unknown,11,0.4,462.5,BELMONT,DH1 1SQ,"DH1 1SF, DH1 1SQ, DH1 3NJ",Not Applicable,427343,542648,19.32711029,0.350726299,Urban,0.013,Urban,Low,Low,Low,Very low,Very low,,,,,,0,0,0.6,0,0,0,0,0,0.6,0,0,32.40721029,0,0,1,0,0,20.74432617,,,Extreme
3260,ELVET BRIDGE,North East,9.20704E+11,Ground Mounted,1000,Not Applicable,99,Distribution,Yes,11,0.4,700,DURHAM EAST,DH1 3AA,DH1 3AG,Not Applicable,427505,542426,18.63663673,0.337249187,Urban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3206,MILBURNGATE STORE,North East,5.25029E+11,Ground Mounted,800,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,DURHAM EAST,DH1 4SL,Redacted,Not Applicable,427234,542606,14.9871006,0.267707906,Urban,0.013,Urban,,,,,,Low,Low,Low,Low,Low,0,0,0,0,0,1.2,0,0,1.2,0,0,44.9443127,0,0,1,0,0,55.53317524,,,Extreme
2447,DURHAM LEAZES,North East,7.50142E+11,Ground Mounted,1000,Not Applicable,8,Distribution,Yes,11,0.4,282.4,DURHAM EAST,DH1 3UJ,"DH1 3UL, DH1 1AA, DH1 3UJ",Not Applicable,427503,542539,14.13076401,0.251753525,Urban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4101,KINGSMERE,North East,7.61659E+11,Ground Mounted,500,Not Applicable,110,Distribution,Yes,11,0.4,80.3,BIRTLEY GROVE 66/11KV,DH3 4DE,"DH3 4DE, DH3 4DA, DH3 4BA, DH3 4DD, DH3 4DB",Not Applicable,427217,553306,13.62228489,0.242337209,Suburban,0.013,Urban,,,,,,Low,,,,,0,0,0,0,0,0.2,0,0,0.2,0,0,12.95050474,0,0,0,0,0,2.690100949,,,Extreme
2445,DURHAM BHS,North East,2.84218E+11,Ground Mounted,1000,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,DURHAM EAST,DH1 3AF,Redacted,Not Applicable,427524,542539,12.65375996,0.224511859,Urban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2202,PYE CLOSE,North East,2.61675E+11,Pole Mounted,16,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,EASTGATE CEMENT,DL13 2SY,Redacted,Not Applicable,401907,535216,12.41430092,0.220125938,Calcareous grassland,0.04,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1518,WEARHEAD WATER,North East,1.49911E+11,Ground Mounted,1600,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,EASTGATE CEMENT,DL13 1DL,Redacted,Not Applicable,385021,539221,11.92998886,0.211279761,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
125,LUNEDALE BROCK SCAR,North East,7.9053E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,No,11,0.4,Redacted,HARMIRE BRIDGE,DL12 0PW,Redacted,Not Applicable,393896,522087,11.72307777,0.207510137,Calcareous grassland,0.04,Pasture/Arable,,,,,,Low,,,,,0,0,0,0,0,0.2,0,0,0.2,0,0,3.894750698,0,0,0,0,0,0.87895014,,,Moderate
