objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SELSET COTTAGE,North East,4.4175E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0PR,Redacted,Not Applicable,392509,521584,2.915475845,0.050928616,5.973062515,1.01857233,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SELSET QUARRY,North East,6.76917E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0NX,Redacted,Not Applicable,391506,522005,14.25350761,0.254032816,3.672876835,2.540328264,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SELSET RESERVOIR,North East,3.72078E+11,Ground Mounted,25,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0PP,Redacted,Not Applicable,392065,521165,6.86928463,0.120469397,10.14904404,371.0457458,Suburban,0.013,Urban,,,,,,High,High,Medium,Medium,Very low,0,0,0,0.3,0.9,0.9,0.3,0.9,0.9,11.96490311,24.8880014,24.8880014,1,1,1,4.739470932,23.84920126,23.84920126,Extreme,Extreme,Extreme,4,4,4,1,1,1,5,1,5,1,1,1,1,1,0,0,0,1,0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,THWAITE HALL,North East,9.17782E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9UQ,Redacted,Not Applicable,400888,520268,1.449478269,0.025303567,5.979394913,0.253035665,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WEST BARNLEY,North East,2.05958E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0DS,Redacted,Not Applicable,400500,522938,5.730988503,0.100359539,7.374169827,16.05752563,Heather,0.05,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,5,1,0.875,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WYTHES HILL,North East,1.73082E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0NX,Redacted,Not Applicable,392471,522626,1.892593026,0.033043999,8.351557732,4.626159191,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,4,0.75,0.875,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,STOOP HILL BARN,North East,4.70667E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0LU,Redacted,Not Applicable,396037,523191,5.73898077,0.100500437,8.12653923,34.17014694,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DENT BANK,North East,9.91147E+11,Pole Mounted,50,Not Applicable,20,20,Distribution,No,20,0.4,24.6,HARMIRE BRIDGE,DL12 0UY,"DL12 0UY, DL12 0UZ, DL12 0QX",Not Applicable,393337,526077,26.49033546,0.498371017,7.024347305,279.0877686,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,5,1,0.875,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DOE PARK,North East,9.41898E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9UQ,Redacted,Not Applicable,400585,520292,1.242435694,0.021687993,6.826728821,0.433759838,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,1,0,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,EAST THATCH,North East,2.7898E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0RT,Redacted,Not Applicable,396276,525614,7.639266491,0.134126082,4.311560154,1.341260672,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
